CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
L5B,2021A0011L5B,35,Ontario,10.399,1.0
L5C,2021A0011L5C,35,Ontario,12.3848,
L5E,2021A0011L5E,35,Ontario,8.0467,
L5G,2021A0011L5G,35,Ontario,7.2303,
L5H,2021A0011L5H,35,Ontario,11.3873,
L5J,2021A0011L5J,35,Ontario,17.8669,
L5K,2021A0011L5K,35,Ontario,6.0875,
L5L,2021A0011L5L,35,Ontario,18.1864,
L5M,2021A0011L5M,35,Ontario,24.9887,
L5N,2021A0011L5N,35,Ontario,32.8959,1.0
L5R,2021A0011L5R,35,Ontario,9.3291,
L5S,2021A0011L5S,35,Ontario,5.9959,
L5T,2021A0011L5T,35,Ontario,11.9677,
L5V,2021A0011L5V,35,Ontario,11.9662,
L5W,2021A0011L5W,35,Ontario,15.6487,
L6A,2021A0011L6A,35,Ontario,61.2069,
L6B,2021A0011L6B,35,Ontario,33.1034,
L6C,2021A0011L6C,35,Ontario,52.6077,
L6E,2021A0011L6E,35,Ontario,8.2503,
L6G,2021A0011L6G,35,Ontario,14.2567,
L6H,2021A0011L6H,35,Ontario,62.5146,
L6J,2021A0011L6J,35,Ontario,18.3881,
L6K,2021A0011L6K,35,Ontario,6.1044,
L6L,2021A0011L6L,35,Ontario,17.0665,
L6M,2021A0011L6M,35,Ontario,34.8703,
L6P,2021A0011L6P,35,Ontario,45.794,
L6R,2021A0011L6R,35,Ontario,23.5285,
L6S,2021A0011L6S,35,Ontario,41.2511,
L6T,2021A0011L6T,35,Ontario,19.2571,
L6V,2021A0011L6V,35,Ontario,8.6194,
L6W,2021A0011L6W,35,Ontario,15.3978,
L6X,2021A0011L6X,35,Ontario,26.0308,
L6Y,2021A0011L6Y,35,Ontario,37.934,
L6Z,2021A0011L6Z,35,Ontario,14.4623,
L7A,2021A0011L7A,35,Ontario,33.6137,
L7B,2021A0011L7B,35,Ontario,180.9839,
L7C,2021A0011L7C,35,Ontario,293.252,
L7E,2021A0011L7E,35,Ontario,135.4397,
L7G,2021A0011L7G,35,Ontario,127.5306,
L7J,2021A0011L7J,35,Ontario,133.2637,
L7K,2021A0011L7K,35,Ontario,260.1272,
L7L,2021A0011L7L,35,Ontario,24.6378,
L7M,2021A0011L7M,35,Ontario,53.8541,
L7N,2021A0011L7N,35,Ontario,6.5651,
L7P,2021A0011L7P,35,Ontario,78.1321,
L7R,2021A0011L7R,35,Ontario,5.9362,
L7S,2021A0011L7S,35,Ontario,3.9426,
L7T,2021A0011L7T,35,Ontario,13.0558,
L8B,2021A0011L8B,35,Ontario,130.2271,
L8E,2021A0011L8E,35,Ontario,32.8993,
L8G,2021A0011L8G,35,Ontario,8.8239,
L8H,2021A0011L8H,35,Ontario,15.6287,
L8J,2021A0011L8J,35,Ontario,71.471,
L8K,2021A0011L8K,35,Ontario,11.819,
L8L,2021A0011L8L,35,Ontario,13.2307,
L8M,2021A0011L8M,35,Ontario,3.346,
L8N,2021A0011L8N,35,Ontario,6.5312,
L8P,2021A0011L8P,35,Ontario,5.8906,
L8R,2021A0011L8R,35,Ontario,4.1562,
L8S,2021A0011L8S,35,Ontario,17.9287,
L8T,2021A0011L8T,35,Ontario,6.263,
L8V,2021A0011L8V,35,Ontario,5.5244,
L8W,2021A0011L8W,35,Ontario,7.052,
L9A,2021A0011L9A,35,Ontario,7.1852,
L9B,2021A0011L9B,35,Ontario,13.6175,
L9C,2021A0011L9C,35,Ontario,12.6266,
L9E,2021A0011L9E,35,Ontario,118.7335,
L9G,2021A0011L9G,35,Ontario,80.625,
L9H,2021A0011L9H,35,Ontario,62.01,
L9J,2021A0011L9J,35,Ontario,27.2468,
L9K,2021A0011L9K,35,Ontario,7.5933,
L9L,2021A0011L9L,35,Ontario,236.5082,
L9M,2021A0011L9M,35,Ontario,242.9891,
L9N,2021A0011L9N,35,Ontario,69.0495,
L9P,2021A0011L9P,35,Ontario,218.119,
L9R,2021A0011L9R,35,Ontario,103.0616,
L9S,2021A0011L9S,35,Ontario,119.0325,
L9T,2021A0011L9T,35,Ontario,82.9492,
L9V,2021A0011L9V,35,Ontario,818.77,
L9W,2021A0011L9W,35,Ontario,683.4793,
L9X,2021A0011L9X,35,Ontario,238.2282,
L9Y,2021A0011L9Y,35,Ontario,186.0677,
L9Z,2021A0011L9Z,35,Ontario,57.4219,
M1B,2021A0011M1B,35,Ontario,35.3539,
M1C,2021A0011M1C,35,Ontario,13.8604,
M1E,2021A0011M1E,35,Ontario,15.8104,
M1G,2021A0011M1G,35,Ontario,8.9669,1.0
M1H,2021A0011M1H,35,Ontario,4.4976,
M1J,2021A0011M1J,35,Ontario,6.56,
M1K,2021A0011M1K,35,Ontario,8.7101,
M1L,2021A0011M1L,35,Ontario,8.3321,1.0
M1M,2021A0011M1M,35,Ontario,9.2167,
M1N,2021A0011M1N,35,Ontario,5.9616,
M1P,2021A0011M1P,35,Ontario,11.1723,
M1R,2021A0011M1R,35,Ontario,10.2393,
M1S,2021A0011M1S,35,Ontario,12.9636,1.0
M1T,2021A0011M1T,35,Ontario,6.1233,
M1V,2021A0011M1V,35,Ontario,14.2525,
M1W,2021A0011M1W,35,Ontario,8.3863,
M1X,2021A0011M1X,35,Ontario,7.0091,
M2H,2021A0011M2H,35,Ontario,7.6546,1.0
M2J,2021A0011M2J,35,Ontario,10.1063,1.0
M2K,2021A0011M2K,35,Ontario,5.68,
M2L,2021A0011M2L,35,Ontario,6.1199,
M2M,2021A0011M2M,35,Ontario,7.5823,
M2N,2021A0011M2N,35,Ontario,9.5924,2.0
M2P,2021A0011M2P,35,Ontario,2.868,
M2R,2021A0011M2R,35,Ontario,7.0468,
M3A,2021A0011M3A,35,Ontario,7.437,
M3B,2021A0011M3B,35,Ontario,7.1507,
M3C,2021A0011M3C,35,Ontario,8.3416,1.0
M3H,2021A0011M3H,35,Ontario,11.0528,
M3J,2021A0011M3J,35,Ontario,13.0563,1.0
M3K,2021A0011M3K,35,Ontario,6.3491,
M3L,2021A0011M3L,35,Ontario,5.7104,
M3M,2021A0011M3M,35,Ontario,5.0881,
M3N,2021A0011M3N,35,Ontario,6.6508,
M4A,2021A0011M4A,35,Ontario,4.4758,
M4B,2021A0011M4B,35,Ontario,4.9089,
